S_USAFire_FireshedReg_FireshedOBJECTID,S_USAFire_FireshedReg_FireshedAREA_HA,S_USAFire_FireshedReg_FireshedFIRESHED_ID,S_USAFire_FireshedReg_FireshedFIRESHED_NAME,S_USAFire_FireshedReg_FireshedFIRESHED_CODE,S_USAFire_FireshedReg_FireshedFIRESHED_STATE,S_USAFire_FireshedReg_FireshedNOPAS,S_USAFire_FireshedReg_Fireshed_ExpOBJECTID,S_USAFire_FireshedReg_Fireshed_ExpFSHED_ID,S_USAFire_FireshedReg_Fireshed_ExpEXP_TOTAL,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_PROTECTED,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_PROTECTED,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_MANAGED,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_MANAGED,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_FOREST,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_FOREST,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_NONFOREST,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_NONFOREST,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_CONIFER,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_CONIFER,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_MANAGEDFOREST,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_MANAGEDFOREST,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_MANAGEDCONIFER,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_MANAGEDCONIFER,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_NONCONIFER_HIHAZ,S_USAFire_FireshedReg_Fireshed_ExpDIST_VS,S_USAFire_FireshedReg_Fireshed_ExpCRISIS_STRATEGY,S_USAFire_FireshedReg_Fireshed_ExpKEY_PERFORMANCE_INDICATOR,S_USAFire_FireshedReg_Fireshed_ExpNATIONAL_USFS_RANK,S_USAFire_FireshedReg_Fireshed_ExpNATIONAL_ALL_LAND_RANK,S_USAFire_FireshedReg_Fireshed_ExpREGIONAL_USFS_RANK,S_USAFire_FireshedReg_Fireshed_ExpREGIONAL_ALL_LAND_RANK,S_USAFire_FireshedReg_Fireshed_ExpSTART_DATE,S_USAFire_FireshedReg_Fireshed_ExpEND_DATE
1282,117806,1304,"Bowman Place, California",bowman_place_ca,CA,11,8992,1304,7.98832926,,7.98832926,,0.26813681,,7.72019244,,5.595195,,2.39313425,,3.96277736,,5.3477739,,3.84919193,1.55299001,2021,,,,394,,70,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1283,121485,1305,"Meadowdale, Wyoming",meadowdale_wy,WY,12,8993,1305,1.27319662,,1.27319662,,,,1.27319662,,0.04405088,,1.22914574,,0.04405088,,0.04405088,,0.04405088,4.75e-05,2021,,,,3429,,208,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1284,139968,1306,"North Fork, Nevada",north_fork_nv,NV,13,8994,1306,1.31213132,0.001296,1.31083533,,,0.001296,1.31083533,2.829e-05,,0.0012677,1.31083533,,,2.829e-05,,,,0.85435229,2021,,,1676,5114,227,404,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1285,87130,1307,"Grouse Creek Junction, Utah",grouse_creek_junction_ut,UT,9,8995,1307,0.27935339,,0.27935339,,0,,0.27935339,,0.02009972,,0.25925366,,0.0193824,,0.02009972,,0.0193824,0.19344035,2021,,,,3845,,236,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1286,82231,1308,"Corning, California",corning_ca,CA,8,8996,1308,24.99138174,,24.99138174,,0.64794295,,24.34343879,,,,24.99138174,,,,,,,0.48424101,2021,,,,5610,,237,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1287,118390,1309,"Almanor, California",almanor_ca,CA,12,8997,1309,5.19568871,0.36813336,4.82755536,0.00160375,0.02417735,0.36652961,4.803378,0.31388438,3.85821872,0.05424891,0.96933664,0.31291976,3.85818519,0.22230237,3.39601961,0.31131601,3.85818519,0.18466099,2021,USFS-Only,,570,540,101,81,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1288,87713,1310,"Leo, Wyoming",leo_wy,WY,9,8998,1310,0.08016615,,0.08016615,,0.00886753,,0.07129861,,0.0033353,,0.07683085,,0.00328597,,0.00326823,,0.00321895,,2021,,,,4462,,319,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1289,129470,1311,"Winnemucca, Nevada",winnemucca_nv,NV,12,8999,1311,48.92344304,,48.92344304,,,,48.92344304,,0.03118606,,48.89225698,,0.0311616,,0.03118606,,0.0311616,27.85591315,2021,All-Lands,,,3624,,209,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1290,91679,1312,"Comus, Nevada",comus_nv,NV,9,9000,1312,0.79125084,,0.79125084,,,,0.79125084,,,,0.79125084,,,,,,,0.36577265,2021,,,,5611,,508,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1291,80132,1313,"Roosters Comb, Nevada",roosters_comb_nv,NV,8,9001,1313,0.29407694,,0.29407694,,0.00567558,,0.28840136,,,,0.29407694,,,,,,,0.07422717,2021,,,,5612,,509,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1292,100310,1314,"Glendo, Wyoming",glendo_wy,WY,10,9002,1314,1.86690527,0.00757624,1.85932903,,,0.00757624,1.85932903,0.00753795,0.04264051,3.829e-05,1.81668853,0.00753795,0.04264051,0.00753795,0.04264051,0.00753795,0.04264051,0.01043444,2021,,,1259,3352,151,199,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1293,102177,1315,"Shirley, Wyoming",shirley_wy,WY,10,9003,1315,0.06031749,,0.06031749,,,,0.06031749,,0,,0.06031749,,0,,0,,0,,2021,,,,5613,,471,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1294,100077,1316,"Matlin, Utah",matlin_ut,UT,10,9004,1316,0.22765971,,0.22765972,,0,,0.22765972,,0,,0.22765972,,0,,,,0,0.13811153,2021,,,,5614,,510,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1295,108009,1317,"Pequop, Nevada",pequop_nv,NV,11,9005,1317,1.70797423,,1.70797423,,7.004e-05,,1.70790418,,0.02317993,,1.68479429,,0.02086441,,0.02317993,,0.02086441,1.68204123,2021,,,,3772,,229,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1296,90279,1318,"Bonnie Briar, Nevada",bonnie_briar_nv,NV,9,9006,1318,3.46690331,,3.46690331,,,,3.46690331,,0.00663735,,3.46026596,,0.00663735,,0.00663735,,0.00663735,1.30521238,2021,,,,4260,,279,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1297,112324,1319,"Tecoma, Nevada",tecoma_nv,NV,11,9007,1319,0.3265552,,0.3265552,,,,0.3265552,,0.01652688,,0.31002832,,0.01632314,,0.01652688,,0.01632314,0.22493616,2021,,,,3925,,244,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1298,75000,1320,"Flanigan, Nevada",flanigan_nv,NV,8,9008,1320,0.45540488,,0.45540488,,0.0860731,,0.36933178,,,,0.45540488,,,,,,,0.01962111,2021,,,,5615,,238,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1299,100894,1321,"Brigham City, Utah",brigham_city_ut,UT,10,9009,1321,4.66820658,1.3532052,3.31500137,0.9012558,0.36756157,0.45194942,2.9474398,0.77708362,0.60423059,0.57612157,2.71077078,0.14282996,0.059052,0.18244942,0.49280871,0.00135804,0.01845577,1.47928275,2021,,,616,1477,60,56,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1300,95645,1322,"Oil Springs, Wyoming",oil_springs_wy,WY,9,9010,1322,0,,0,,0,,0,,0,,0,,0,,0,,0,,2021,,,,5616,,472,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1301,82464,1323,"Crocker Place, California",crocker_place_ca,CA,8,9011,1323,2.05068987,0.07903824,1.97165164,0.06240865,0.06660606,0.01662959,1.90504558,0.06828617,1.47701142,0.01075206,0.49464021,0.06828617,1.45010409,0.01624421,1.45619208,0.01624421,1.42928475,0.20304232,2021,,,1145,966,138,111,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1302,120256,1324,"Goldville, Nevada",goldville_nv,NV,11,9012,1324,1.83440608,,1.83440608,,,,1.83440608,,4.49e-05,,1.83436115,,4.49e-05,,4.49e-05,,4.49e-05,1.32795801,2021,,,,5094,,401,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1303,105209,1325,"Boars Tusk, Wyoming",boars_tusk_wy,WY,10,9013,1325,0.00971458,,0.00971457,,0,,0.00971457,,,,0.00971457,,,,,,,,2021,,,,5617,,511,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1304,81998,1326,"Fort Bragg, California",fort_bragg_ca,CA,8,9014,1326,7.77353149,,7.77353149,,0.3728578,,7.40067369,,5.87756505,,1.89596644,,0.52783305,,5.64121571,,0.5238258,3.97682995,2021,,,,378,,68,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1305,53421,1327,"Dinner Station, Nevada",dinner_station_nv,NV,5,9015,1327,23.54758069,,23.54758069,,,,23.54758069,,,,23.54758069,,,,,,,15.46302846,2021,,,,5618,,512,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1306,114657,1328,"Ninemile Hill, Wyoming",ninemile_hill_wy,WY,11,9016,1328,0.00594092,,0.00594092,,,,0.00594092,,,,0.00594092,,,,,,,,2021,,,,5619,,473,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1307,123872,1329,"Reed Place, Wyoming",reed_place_wy,WY,12,9017,1329,0.28354813,0.00172618,0.28182195,,0,0.00172618,0.28182195,0,0.00255274,0.00172618,0.27926921,0,0.00255274,0,0.00255274,0,0.00255274,,2021,,,1729,4528,197,323,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1308,97744,1330,"Wheatland, Wyoming",wheatland_wy,WY,9,9018,1330,2.03993414,0.01458348,2.02535066,,,0.01458348,2.02535066,0.00022237,0.00480465,0.01436111,2.02054601,0.00022237,0.00480465,0.00022237,0.00480465,0.00022237,0.00480465,8.233e-05,2021,,,1610,4343,193,302,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1309,101710,1331,"Chalk Butte, Wyoming",chalk_butte_wy,WY,10,9019,1331,0.00835,,0.00835,,4.736e-05,,0.00830264,,,,0.00835,,,,,,,,2021,,,,5620,,474,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1310,93779,1332,"Coal Butte, Wyoming",coal_butte_wy,WY,9,9020,1332,0,,0,,,,0,,,,0,,,,,,,,2021,,,,5621,,475,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1311,120336,1333,"Guernsey, Wyoming",guernsey_wy,WY,12,9021,1333,2.02839698,,2.02839698,,0.00949398,,2.018903,,0.01636772,,2.01202926,,0.01611593,,0.01636772,,0.01611593,0.00090189,2021,,,,3927,,254,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1312,145800,1334,"Reynard, Nevada",reynard_nv,NV,14,9022,1334,0.52008013,,0.52008013,,0.31727742,,0.2028027,,0.00101601,,0.51906412,,0.00101601,,8.574e-05,,8.574e-05,0.05966407,2021,,,,5043,,392,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1313,99844,1335,"Adelaide, Nevada",adelaide_nv,NV,10,9023,1335,1.02602945,,1.02602945,,0.00023557,,1.02579388,,0.00400552,,1.02202393,,0.00400552,,0.00400552,,0.00400552,0.87645874,2021,,,,4420,,307,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1314,99144,1336,"Orland, California",orland_ca,CA,10,9024,1336,14.48724305,,14.48724305,,0.14594793,,14.34129513,,,,14.48724305,,,,,,,0.19843967,2021,,,,5622,,239,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1315,113841,1337,"Farrell, Nevada",farrell_nv,NV,11,9025,1337,0,,0,,,,0,,,,0,,,,,,,0,2021,,,,5623,,513,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1316,112558,1338,"Arabia, Nevada",arabia_nv,NV,11,9026,1338,0.0485198,,0.0485198,,,,0.0485198,,0,,0.0485198,,0,,0,,0,0.00859924,2021,,,,5624,,514,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1317,104043,1339,"Lakeside, Utah",lakeside_ut,UT,10,9027,1339,0.00579996,,0.00579996,,,,0.00579996,,,,0.00579996,,,,,,,2.564e-05,2021,,,,5625,,515,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1318,87830,1340,"Nibley, Utah",nibley_ut,UT,8,9028,1340,1.90420859,0.48942493,1.41478367,0.4497508,0.3720316,0.03967411,1.04275207,0.28777734,0.51375141,0.20164758,0.90103225,0.13298519,0.08166676,0.01974459,0.45442011,0.00492401,0.02307263,0.19177344,2021,,,1112,1709,139,76,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1319,98211,1341,"Bell Butte, Wyoming",bell_butte_wy,WY,10,9029,1341,0.13243546,,0.13243546,,,,0.13243546,,0,,0.13243546,,0,,0,,0,0,2021,,,,5626,,516,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1320,100777,1342,"Lombard Buttes, Wyoming",lombard_buttes_wy,WY,10,9030,1342,0.01623976,,0.01623975,,0.0004922,,0.01574756,,,,0.01623975,,,,,,,,2021,,,,5627,,517,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1321,110458,1343,"Dines, Wyoming",dines_wy,WY,11,9031,1343,0.04824732,,0.04824732,,0,,0.04824732,,,,0.04824732,,,,,,,,2021,,,,5628,,476,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1322,82581,1344,"Lone Haystack Mountain, Wyoming",lone_haystack_mountain_wy,WY,8,9032,1344,0.01130432,,0.01130432,,,,0.01130432,,0,,0.01130432,,0,,0,,0,,2021,,,,5629,,477,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1323,92845,1345,"Bald Mountain 1,  Wyoming",bald_mountain_1_wy,WY,9,9033,1345,0.02020126,,0.02020126,,,,0.02020126,,0,,0.02020126,,0,,0,,0,0,2021,,,,5630,,478,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1324,103576,1346,"Argentine, California",argentine_ca,CA,10,9034,1346,22.27320807,13.50014859,8.77305949,0.49792654,0.00632068,13.00222205,8.76673881,13.40245195,5.25101894,0.09769664,3.52204055,12.03461313,5.01254823,12.92594038,5.24469826,11.561649,5.00622755,2.08228192,2021,All-Lands,,25,116,8,26,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1325,105443,1347,"Wells, Nevada",wells_nv,NV,10,9035,1347,10.59360239,0.35757487,10.23602751,0.27594814,0.01241346,0.08162673,10.22361405,0.06904328,0.1070559,0.28853159,10.12897161,2.63e-06,0.09398604,0.00064091,0.0970458,,0.09398604,9.83006535,2021,,,1545,2891,208,152,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1326,112908,1348,"Point of Rocks, Wyoming",point_of_rocks_wy,WY,11,9036,1348,0.01374991,,0.01374991,,0,,0.01374991,,,,0.01374991,,,,,,,,2021,,,,5631,,479,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1327,99611,1349,"Belden, California",belden_ca,CA,10,9037,1349,2.77688181,0.93687662,1.84000518,0.20601005,0.00128865,0.73086658,1.83871653,0.83596471,1.6319569,0.1009119,0.20804828,0.71085782,1.57260755,0.67364715,1.62965563,0.57401203,1.5713189,0.25177197,2021,,,323,741,74,96,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1328,98911,1350,"Chases, California",chases_ca,CA,9,9038,1350,1.45813376,1.21296766,0.24516611,0.00129603,0.03645055,1.21167164,0.20871556,0.69620919,0.12811475,0.51675845,0.11705136,0.69537344,0.12811475,0.46909143,0.12455209,0.69407742,0.12811475,0.00825772,2021,,,390,1575,80,146,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1329,92962,1351,"Pigeon Mountain, Utah",pigeon_mountain_ut,UT,9,9039,1351,0,,0,,,,0,,,,0,,,,,,,,2021,,,,5632,,518,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1330,101827,1352,"Hogup, Utah",hogup_ut,UT,10,9040,1352,0,,0,,,,0,,,,0,,,,,,,,2021,,,,5633,,519,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1331,115240,1353,"Boothe Valley Hill, Utah",boothe_valley_hill_ut,UT,11,9041,1353,0.96697941,,0.96697941,,0.33339485,,0.63358457,,,,0.96697941,,,,,,,0.08224318,2021,,,,5634,,520,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1332,131103,1354,"Randolph, Utah",randolph_ut,UT,12,9042,1354,2.04207732,0.012755,2.02932232,0.0046364,0.02306726,0.00811858,2.00625507,0.01269079,0.00903934,6.42e-05,2.02028303,0.00658492,0.00262345,0.00809791,0.00603958,0.00379228,0.00240199,0.0006657,2021,,,1247,3981,155,256,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1333,102060,1355,"Calneva, California",calneva_ca,CA,10,9043,1355,10.83137277,0.43064073,10.40073203,,0.99906204,0.43064073,9.40166999,0.11594998,0.01714305,0.31469076,10.38358898,0.11594998,0.01714305,0.11594998,0.01714305,0.11594998,0.01714305,5.21745496,2021,,,736,2661,110,179,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1334,92146,1356,"Cherry Creek, Nevada",cherry_creek_nv,NV,9,9044,1356,0.28819313,,0.28819313,,,,0.28819313,,0.00218913,,0.286004,,0.00158747,,0.00218913,,0.00158747,0.12956479,2021,,,,4560,,326,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1335,92029,1357,"Argenta, Nevada",argenta_nv,NV,9,9045,1357,1.13290306,,1.13290306,,,,1.13290306,,,,1.13290306,,,,,,,0.42061256,2021,,,,5635,,521,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1336,106259,1358,"Chrome, California",chrome_ca,CA,10,9046,1358,4.81803319,,4.81803319,,0.0287236,,4.78930958,,,,4.81803319,,,,,,,0.86633258,2021,,,,5636,,240,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1337,106492,1359,"Juniper Mountain, Nevada",juniper_mountain_nv,NV,10,9047,1359,0.21324798,,0.21324798,,0.00668316,,0.20656482,,,,0.21324798,,,,,,,0.18162995,2021,,,,5637,,522,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1338,105209,1360,"Alder Springs, California",alder_springs_ca,CA,11,9048,1360,1.05226959,0.48459132,0.56767827,0.01411571,,0.47047561,0.56767827,0.34088645,0.14697283,0.14370488,0.42070544,0.34088645,0.14625757,0.33299291,0.14697283,0.33299291,0.14625757,0.29930648,2021,,,466,1703,87,153,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1339,92262,1361,"Fenelon, Nevada",fenelon_nv,NV,9,9049,1361,0.52979527,,0.52979527,,,,0.52979527,,0.04853207,,0.4812632,,0.04839761,,0.04853207,,0.04839761,0.479165,2021,,,,3376,,186,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1340,85847,1362,"Buell, Nevada",buell_nv,NV,8,9050,1362,0.0436666,,0.0436666,,0,,0.0436666,,0.0105231,,0.0331435,,0.01050916,,0.0105231,,0.01050916,0.01647596,2021,,,,4117,,269,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1341,99844,1364,"Opal, Wyoming",opal_wy,WY,10,9052,1364,0.04997082,,0.04997082,,,,0.04997082,,,,0.04997082,,,,,,,,2021,,,,5639,,523,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1342,110575,1365,"Chico, California",chico_ca,CA,11,9053,1365,31.52804785,0.11611133,31.41193652,,0.14561127,0.11611133,31.26632525,0.10636434,21.5901618,0.00974699,9.82177472,0.06887527,21.35685107,0.10636434,21.5901618,0.06887527,21.35685107,4.70164519,2021,All-Lands,,754,82,112,22,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1343,93545,1366,"Bear Head Mountain, Wyoming",bear_head_mountain_wy,WY,9,9054,1366,0.39329235,0.05780527,0.33548707,0.03711864,0.18190388,0.02068663,0.1535832,0.02115636,0.01643344,0.03664891,0.31905363,0.02115636,0.01643344,0.00028426,0.00576228,0.00028426,0.00576228,0.00031866,2021,,,1595,4294,191,296,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1344,131920,1367,"Bauvard, Nevada",bauvard_nv,NV,12,9055,1367,1.54200569,,1.54200569,,0.00171432,,1.54029137,,0.12422856,,1.41777713,,0.11924915,,0.12365562,,0.11867668,1.07513912,2021,,,,2719,,140,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1345,105209,1368,"Colado, Nevada",colado_nv,NV,10,9056,1368,1.744675,,1.744675,,,,1.744675,,0.02357996,,1.72109504,,0.02256755,,0.02357996,,0.02256755,0.52935119,2021,,,,3756,,226,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1346,126788,1369,"Granger, Wyoming",granger_wy,WY,12,9057,1369,0.09339124,,0.09339124,,,,0.09339124,,,,0.09339124,,,,,,,,2021,,,,5640,,524,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1347,125038,1370,"Battle Mountain, Nevada",battle_mountain_nv,NV,12,9058,1370,14.96215832,,14.96215832,,,,14.96215832,,,,14.96215832,,,,,,,6.46060755,2021,,,,5641,,525,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1348,128771,1371,"Beaver, Nevada",beaver_nv,NV,13,9059,1371,28.76740861,0.0527959,28.71461271,0.00179933,,0.05099657,28.71461271,0.00078518,0.00193749,0.05201073,28.71267522,,,0.00078518,0.00193749,,,27.19336584,2021,All-Lands,,1528,4507,202,319,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1349,87013,1372,"Willits, California",willits_ca,CA,9,9060,1372,22.9337096,,22.9337096,,0.04604981,,22.88765979,,11.49564979,,11.43805981,,10.21097568,,11.46308109,,10.17840698,3.27068053,2021,,,,197,,43,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1350,88180,1373,"Medicine Bow, Wyoming",medicine_bow_wy,WY,9,9061,1373,0.18113554,,0.18113554,,,,0.18113554,,,,0.18113554,,,,,,,,2021,,,,5642,,481,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1351,83748,1374,"Rock Springs, Wyoming",rock_springs_wy,WY,8,9062,1374,0.39071511,,0.39071511,,,,0.39071511,,,,0.39071511,,,,,,,,2021,,,,5643,,526,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1352,79432,1375,"Green River, Wyoming",green_river_wy,WY,8,9063,1375,0.11856036,0.00132227,0.11723809,0.00132227,0.00013075,,0.11710734,,,0.00132227,0.11723809,,,,,,,,2021,,,,5644,,527,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1353,74533,1376,"Natwick, Wyoming",natwick_wy,WY,7,9064,1376,0.84945647,0.01102833,0.83842814,,0.07393729,0.01102833,0.76449087,,0.03341572,0.01102833,0.80501242,,0.03341572,,0.01294588,,0.01294588,0.0059506,2021,,,,4027,,263,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1354,92146,1377,"Hanna, Wyoming",hanna_wy,WY,9,9065,1377,0.07871681,,0.07871681,,0.00352855,,0.07518826,,,,0.07871681,,,,,,,,2021,,,,5645,,482,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1355,87830,1378,"Bailey, Nevada",bailey_nv,NV,9,9066,1378,0.64408603,,0.64408603,,,,0.64408603,,0.01616025,,0.62792578,,0.01616025,,0.01616025,,0.01616025,0.28046777,2021,,,,3933,,246,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1356,99027,1379,"Aspen, Wyoming",aspen_wy,WY,9,9067,1379,0.29960846,,0.29960846,,,,0.29960846,,0,,0.29960846,,,,0,,,,2021,,,,5646,,528,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1357,103810,1380,"Wamsutter, Wyoming",wamsutter_wy,WY,10,9068,1380,0.10205,,0.10205,,,,0.10205,,,,0.10205,,,,,,,,2021,,,,5647,,483,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1358,124921,1381,"Nightingale, Nevada",nightingale_nv,NV,12,9069,1381,0.26258191,,0.26258191,,,,0.26258191,,0.00162579,,0.26095612,,0.00162579,,0.00162579,,0.00162579,0.05435542,2021,,,,4629,,335,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1359,92146,1382,"Kennedy, Nevada",kennedy_nv,NV,9,9070,1382,0.16350756,,0.16350756,,,,0.16350756,,0.00495555,,0.15855201,,0.00495555,,0.00495555,,0.00495555,0.0858134,2021,,,,4349,,298,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1360,106259,1383,"Carlin, Nevada",carlin_nv,NV,10,9071,1383,56.10632343,,56.10632343,,,,56.10632343,,4.657e-05,,56.10627686,,0,,4.657e-05,,0,46.5914903,2021,All-Lands,,,5091,,400,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1361,103576,1384,"Deardens Knoll, Utah",deardens_knoll_ut,UT,10,9072,1384,0,,0,,,,0,,,,0,,,,,,,0,2021,,,,5648,,529,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1362,84331,1385,"Little America, Wyoming",little_america_wy,WY,8,9073,1385,0.01682865,,0.01682865,,,,0.01682865,,,,0.01682865,,,,,,,,2021,,,,5649,,530,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1363,96111,1386,"China Mountain, Nevada",china_mountain_nv,NV,9,9074,1386,0.24236425,,0.24236425,,0.04832633,,0.19403791,,0,,0.24236425,,0,,0,,0,0.16179606,2021,,,,5650,,531,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1364,99377,1387,"Cooper, California",cooper_ca,CA,9,9075,1387,15.2369749,0.56299716,14.67397774,0.10195684,0.20702663,0.46104031,14.46695111,0.55057571,3.0272678,0.01242144,11.64670994,0.55057571,2.902739,0.45470907,2.91840586,0.45470907,2.79387706,3.52374364,2021,,,396,571,82,86,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1365,105792,1388,"Ragged Top Mountain, Nevada",ragged_top_mountain_nv,NV,10,9076,1388,0.03560001,,0.03560001,,,,0.03560001,,,,0.03560001,,,,,,,0,2021,,,,5651,,532,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1366,94362,1389,"Campbell Peak, Utah",campbell_peak_ut,UT,9,9077,1389,0,,0,,0,,0,,,,0,,,,,,,,2021,,,,5652,,533,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1367,103576,1390,"Newfoundland Mountains, Utah",newfoundland_mountains_ut,UT,10,9078,1390,0,,0,,,,0,,,,0,,,,,,,,2021,,,,5653,,534,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1368,101127,1391,"Midlake, Utah",midlake_ut,UT,10,9079,1391,0.03531725,,0.03531725,,,,0.03531725,,,,0.03531725,,,,,,,0.00839481,2021,,,,5654,,535,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1369,115707,1392,"Bitter Creek, Wyoming",bitter_creek_wy,WY,11,9080,1392,0.02589723,,0.02589723,,,,0.02589723,,,,0.02589723,,,,,,,,2021,,,,5655,,484,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
1370,110108,1393,"Rawlins, Wyoming",rawlins_wy,WY,11,9081,1393,0.30956454,,0.30956454,,,,0.30956454,,,,0.30956454,,,,,,,,2021,,,,5656,,485,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
