S_USAFire_FireshedReg_FireshedOBJECTID,S_USAFire_FireshedReg_FireshedAREA_HA,S_USAFire_FireshedReg_FireshedFIRESHED_ID,S_USAFire_FireshedReg_FireshedFIRESHED_NAME,S_USAFire_FireshedReg_FireshedFIRESHED_CODE,S_USAFire_FireshedReg_FireshedFIRESHED_STATE,S_USAFire_FireshedReg_FireshedNOPAS,S_USAFire_FireshedReg_Fireshed_ExpOBJECTID,S_USAFire_FireshedReg_Fireshed_ExpFSHED_ID,S_USAFire_FireshedReg_Fireshed_ExpEXP_TOTAL,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_PROTECTED,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_PROTECTED,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_MANAGED,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_MANAGED,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_FOREST,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_FOREST,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_NONFOREST,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_NONFOREST,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_CONIFER,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_CONIFER,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_MANAGEDFOREST,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_MANAGEDFOREST,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_MANAGEDCONIFER,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_MANAGEDCONIFER,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_NONCONIFER_HIHAZ,S_USAFire_FireshedReg_Fireshed_ExpDIST_VS,S_USAFire_FireshedReg_Fireshed_ExpCRISIS_STRATEGY,S_USAFire_FireshedReg_Fireshed_ExpKEY_PERFORMANCE_INDICATOR,S_USAFire_FireshedReg_Fireshed_ExpNATIONAL_USFS_RANK,S_USAFire_FireshedReg_Fireshed_ExpNATIONAL_ALL_LAND_RANK,S_USAFire_FireshedReg_Fireshed_ExpREGIONAL_USFS_RANK,S_USAFire_FireshedReg_Fireshed_ExpREGIONAL_ALL_LAND_RANK,S_USAFire_FireshedReg_Fireshed_ExpSTART_DATE,S_USAFire_FireshedReg_Fireshed_ExpEND_DATE
6626,105909,6551,"Nashville, Arkansas",nashville_ar,AR,11,14218,6551,1.20326435,,1.20326434,,0.00015156,,1.20311278,,0.31353786,,0.88972649,,,,0.31344719,,,,2021,,,,2037,,998,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
6627,90863,6552,"Calhoun City, Mississippi",calhoun_city_ms,MS,9,14219,6552,0.39188573,0.0002372,0.39164852,,,0.0002372,0.39164852,0.0002372,0.23083822,,0.16081031,,,0.0002372,0.23083822,,,,2021,,,1609,2259,307,1099,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
6628,91096,6553,"Bokchito, Oklahoma",bokchito_ok,OK,9,14220,6553,7.26808342,0.02778468,7.24029874,,,0.02778468,7.24029874,0.02707389,1.1374234,0.00071078,6.10287534,,,0.02707389,1.1374234,,,,2021,,,1057,1117,184,552,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
6629,126088,6554,"Star City, Arkansas",star_city_ar,AR,13,14221,6554,0.21944409,,0.21944409,,,,0.21944409,,0.12851969,,0.0909244,,,,0.12851969,,,,2021,,,,2689,,1260,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
6630,71850,6555,"Hollis Crossroads, Alabama",hollis_crossroads_al,AL,7,14222,6555,0.6452137,0.07561987,0.56959384,0.00698422,,0.06863565,0.56959384,0.07504203,0.34761855,0.00057784,0.22197529,,,0.06805781,0.34761855,,,,2021,,,850,1806,146,880,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
6631,89463,6556,"Swink, Oklahoma",swink_ok,OK,9,14223,6556,2.15735489,,2.15735489,,0.0018034,,2.15555149,,0.43992508,,1.71742981,,,,0.43992508,,,,2021,,,,1764,,856,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
6632,74650,6557,"Marietta, Oklahoma",marietta_ok,OK,8,14224,6557,14.75200242,,14.75200242,,0.5759565,,14.17604592,,2.48329601,,12.26870641,,,,2.01877209,,,,2021,,,,807,,376,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
6633,111624,6558,"New Hope, Mississippi",new_hope_ms,MS,11,14225,6558,1.0030387,,1.0030387,,,,1.0030387,,0.32925578,,0.67378292,,,,0.32925578,,,,2021,,,,2002,,980,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
6634,104976,6559,"Columbus, Mississippi",columbus_ms,MS,11,14226,6559,0.89368485,,0.89368485,,0.00057471,,0.89311014,,0.05871782,,0.83496703,,,,0.0587034,,,,2021,,,,3243,,1433,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
6635,121189,6560,"Boswell, Oklahoma",boswell_ok,OK,12,14227,6560,4.63674238,0.01018253,4.62655985,,,0.01018253,4.62655985,0.00956705,0.85671403,0.00061548,3.76984582,,,0.00956705,0.85671403,,,,2021,,,1222,1305,220,648,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
